team,league,division,r,g,b
ari,nl,west,102,24,16
atl,nl,east,0,0,93
bal,al,east,231,64,8
bos,al,east,191,8,8
chc,nl,central,0,0,105
chw,al,central,126,126,126
cin,nl,central,219,8,8
cle,al,central,0,0,92
col,nl,west,84,7,112
det,al,central,0,0,92
mia,nl,east,0,145,142
hou,al,west,196,54,0
kcr,al,central,18,55,143
laa,al,west,179,27,27
lad,nl,west,30,144,255
mil,nl,central,0,0,92
min,al,central,0,0,92
nym,nl,east,40,67,175
nyy,al,east,0,0,92
oak,al,west,0,92,0
phi,nl,east,239,0,0
pit,nl,central,239,161,0
stl,nl,central,214,0,80
sdp,nl,west,59,152,255
sfg,nl,west,239,94,0
sea,al,west,16,62,121
tbr,al,east,117,178,221
tex,al,west,0,0,183
tor,al,east,70,137,231
wsn,nl,east,223,0,8
